timestamp,ecg_measurement,qrs_detected
8785320,2.9178886413,0
8789200,2.9569892883,0
8793080,2.9569892883,0
8796960,2.9374389648,0
8800836,2.9618768692,0
8804716,3.0303030014,0
8808572,3.1182794570,0
8812444,3.2209188938,0
8816324,3.3870968818,0
8820204,3.6510264873,0
8824084,4.0127077102,0
8827952,4.3597264289,0
8831828,4.5943303108,0
8835692,4.6089930534,0
8839556,4.4037146568,0
8843436,4.0615835189,0
8847308,3.6314761638,0
8851196,3.1378300189,0
8855076,2.7517106533,1
8858956,2.5122189521,0
8862836,2.4584555625,0
8866708,2.5415444374,0
8870588,2.6588466167,0
8874472,2.7468230724,0
8878348,2.8494623184,0
8882232,2.9863147735,0
8886108,3.1231670379,0
8889988,3.1964809894,0
8893860,3.2111437320,0
8897740,3.2160313129,0
8901612,3.2600195407,0
