timestamp,ecg_measurement
2.951543900000000000e+09,1.798631429600000109e+00
2.951547900000000000e+09,1.676441764800000067e+00
2.951551908000000000e+09,1.681329345700000033e+00
2.951555916000000000e+09,1.818181896200000036e+00
2.951559924000000000e+09,1.891495609199999928e+00
2.951563928000000000e+09,1.847507381400000037e+00
2.951567932000000000e+09,1.735092878299999919e+00
2.951571932000000000e+09,1.735092878299999919e+00
2.951575936000000000e+09,1.867057704899999893e+00
2.951579936000000000e+09,1.959921836799999983e+00
2.951583936000000000e+09,1.920821094499999937e+00
2.951587928000000000e+09,1.808406638999999982e+00
2.951591912000000000e+09,1.818181896200000036e+00
2.951595920000000000e+09,1.940371513299999906e+00
2.951599924000000000e+09,2.043010711600000029e+00
2.951603916000000000e+09,2.008797645500000062e+00
2.951607908000000000e+09,1.891495609199999928e+00
2.951611912000000000e+09,1.906158351800000039e+00
2.951615916000000000e+09,2.043010711600000029e+00
2.951619908000000000e+09,2.150537729199999859e+00
2.951623908000000000e+09,2.116324424700000151e+00
2.951627916000000000e+09,2.008797645500000062e+00
2.951631904000000000e+09,2.033235549900000105e+00
2.951635900000000000e+09,2.155425310100000047e+00
2.951639908000000000e+09,2.262952089300000136e+00
2.951643908000000000e+09,2.218963861399999793e+00
2.951647916000000000e+09,2.111436843799999963e+00
2.951651924000000000e+09,2.126099824899999824e+00
2.951655924000000000e+09,2.262952089300000136e+00
2.951659924000000000e+09,2.360703706699999849e+00
2.951663916000000000e+09,2.306940317100000026e+00
2.951667916000000000e+09,2.189638376200000014e+00
2.951671916000000000e+09,2.194525957100000202e+00
2.951675932000000000e+09,2.306940317100000026e+00
2.951679924000000000e+09,2.390029430299999813e+00
2.951683916000000000e+09,2.321603059700000138e+00
2.951687908000000000e+09,2.179863214400000082e+00
2.951691908000000000e+09,2.150537729199999859e+00
2.951695908000000000e+09,2.248289346600000016e+00
2.951699908000000000e+09,2.311827898000000214e+00
2.951703908000000000e+09,2.209188699699999869e+00
2.951707908000000000e+09,2.038123130699999841e+00
2.951711912000000000e+09,1.979472160300000061e+00
2.951715908000000000e+09,2.043010711600000029e+00
2.951719892000000000e+09,2.062561035099999884e+00
2.951723888000000000e+09,1.950146675100000060e+00
2.951727884000000000e+09,1.774193525300000074e+00
2.951731896000000000e+09,1.715542554800000064e+00
2.951735900000000000e+09,1.788856267899999963e+00
2.951739904000000000e+09,1.832844638799999926e+00
2.951743912000000000e+09,1.744868040000000065e+00
2.951747892000000000e+09,1.598240470799999979e+00
2.951751884000000000e+09,1.564027404700000012e+00
2.951755876000000000e+09,1.661779022199999956e+00
2.951759884000000000e+09,1.735092878299999919e+00
2.951763880000000000e+09,1.671554183900000101e+00
2.951767884000000000e+09,1.544476985900000043e+00
2.951771884000000000e+09,1.539589405000000077e+00
2.951775876000000000e+09,1.652003860400000024e+00
2.951779872000000000e+09,1.739980459200000107e+00
2.951783872000000000e+09,1.686216926499999991e+00
2.951787876000000000e+09,1.559139728499999933e+00
2.951791876000000000e+09,1.549364566800000009e+00
2.951795884000000000e+09,1.666666602999999913e+00
2.951799868000000000e+09,1.764418363499999920e+00
2.951803872000000000e+09,1.715542554800000064e+00
2.951807876000000000e+09,1.598240470799999979e+00
2.951811868000000000e+09,1.598240470799999979e+00
2.951815864000000000e+09,1.710654973900000098e+00
2.951819864000000000e+09,1.808406638999999982e+00
2.951823844000000000e+09,1.764418363499999920e+00
