timestamp,measurement,qrs_detected
2976233212,0.1515151500,0
2976237212,0.2297165155,0
2976241212,0.2590420246,0
2976245196,0.2394916772,0
2976249192,0.2883675384,0
2976253192,0.3910068511,0
2976257184,0.5034213066,0
2976261172,0.5131964683,0
2976265156,0.5229716300,0
2976269148,0.5571847438,0
2976273140,0.6353860855,0
2976277132,0.7038123130,0
2976281124,0.7038123130,0
2976285116,0.7038123130,0
2976289108,0.7575757503,0
2976293100,0.8651026725,0
2976297092,0.9872922897,0
2976301080,1.0606060028,0
2976305048,1.1339198350,0
2976309052,1.2512218952,0
2976313060,1.4222873687,0
2976317068,1.5738025665,0
2976321068,1.6666666030,0
2976325060,1.7057673931,0
2976329068,1.7741935253,0
2976333076,1.8817204475,0
2976337080,1.9501466751,0
2976341080,1.9354838371,0
2976345076,1.8768328666,0
2976349080,1.8621701240,0
2976353080,1.9061583518,0
2976357084,1.9403715133,0
2976361096,1.8963831901,0
2976365096,1.8426198005,0
2976369096,1.8719452857,0
2976373104,1.9599218368,0
2976377108,2.0185728073,0
2976381100,2.0234603881,0
2976385084,2.0430107116,0
2976389068,2.1309874057,0
2976393060,2.2580645084,0
2976397052,2.3998045921,0
2976401052,2.4193549156,0
2976405060,2.4095797538,0
2976409052,2.4193549156,0
2976413060,2.4584555625,0
2976417064,2.4682307243,0
2976421060,2.3655912876,0
2976425060,2.2678396701,0
2976429052,2.2189638614,0
2976433052,2.2336266040,0
2976437052,2.2238514423,0
2976441060,2.1358749866,0
2976445068,2.0430107116,0
2976449064,1.9794721603,0
2976453064,1.9794721603,0
2976457072,1.9648094177,0
2976461068,1.8523949623,0
2976465080,1.7253177165,0
2976469076,1.6324535369,0
2976473076,1.5884653091,0
2976477076,1.5395894050,0
2976481068,1.3929618644,0
2976485076,1.2316715717,0
2976489080,1.0997067642,0
2976493072,1.0068426132,0
2976497068,0.8944281578,0
2976501060,0.7135874748,0
2976505056,0.5034213066,0
2976509052,0.3225806236,0
2976513044,0.2003910064,0
2976517020,0.1173020482,0
2976521012,0.0684261989,0
2976525004,0.0391006832,0
2976528996,0.0195503416,0
2976532988,0.0097751703,0
2976536972,0.0048875851,0
2976540924,0.0000000000,0
2976544820,0.0000000000,0
2976548708,0.0000000000,0
2976552604,0.0000000000,0
2976556500,0.0000000000,0
2976560396,0.0000000000,0
2976564292,0.0000000000,0
2976568184,0.0000000000,0
2976572076,0.0000000000,0
2976575972,0.0000000000,0
2976579868,0.0000000000,0
2976583764,0.0000000000,0
2976587652,0.0000000000,0
2976591580,0.0391006832,0
2976595564,0.0928641223,0
2976599564,0.1368523955,0
2976603564,0.1466275596,0
2976607564,0.2150537729,0
2976611564,0.3421309947,0
2976615552,0.5278592109,0
2976619544,0.6695992469,0
2976623532,0.7917888641,0
2976627524,0.9090909004,0
2976631492,1.1045943498,0
2976635492,1.3440860509,0
2976639484,1.5542521476,0
2976643496,1.7155425548,0
2976647504,1.8963831901,0
2976651500,2.1212120056,0
2976655500,2.3558161258,0
2976659504,2.5024437904,0
2976663492,2.5757575035,0
2976667492,2.6686217784,0
2976671492,2.7908113002,0
2976675488,2.9325513839,0
2976679492,3.0058650970,0
2976683476,3.0742912292,0
2976687476,3.2111437320,0
2976691484,3.4848484992,0
2976695484,3.8318670272,0
2976699476,4.1397848129,1
2976703476,4.3743891716,0
2976707492,4.5259041786,0
2976711492,4.5356793403,0
2976715492,4.3352885246,0
2976719500,3.8563049316,0
2976723512,3.2453567981,0
2976727520,2.7321603298,0
2976731516,2.4340176582,0
2976735524,2.3167154788,0
2976739532,2.2776148319,0
2976743532,2.2580645084,0
2976747516,2.3362658023,0
2976751524,2.5024437904,0
2976755524,2.6881721019,0
2976759524,2.7761485576,0
2976763532,2.7712609767,0
2976767532,2.7908113002,0
2976771524,2.8543498992,0
2976775528,2.9178886413,0
2976779532,2.9227762222,0
2976783544,2.8592374801,0
2976787540,2.8445747375,0
2976791540,2.9032258987,0
2976795540,2.9618768692,0
2976799552,2.9374389648,0
2976803556,2.8543498992,0
2976807556,2.8201368331,0
2976811560,2.8592374801,0
2976815556,2.9130010604,0
2976819548,2.8934507369,0
2976823548,2.8152492523,0
2976827556,2.7810361385,0
2976831556,2.8152492523,0
2976835560,2.8592374801,0
2976839556,2.8299119949,0
2976843556,2.7370479106,0
2976847552,2.7028348445,0
2976851552,2.7321603298,0
2976855548,2.7810361385,0
2976859552,2.7468230724,0
2976863548,2.6832845211,0
2976867556,2.6539590358,0
2976871556,2.6930596828,0
2976875556,2.7565982341,0
2976879556,2.7370479106,0
2976883556,2.6783969402,0
2976887556,2.6637341976,0
2976891568,2.7174975872,0
2976895572,2.7859237194,0
2976899580,2.7810361385,0
2976903588,2.7272727489,0
2976907600,2.7174975872,0
2976911604,2.7761485576,0
2976915620,2.8494623184,0
2976919620,2.8054740905,0
2976923608,2.7321603298,0
2976927604,2.6881721019,0
2976931604,2.7126100063,0
2976935600,2.7321603298,0
2976939596,2.6881721019,0
2976943596,2.5904202461,0
2976947596,2.5317692756,0
2976951604,2.5464320182,0
2976955612,2.5513195991,0
2976959620,2.4780058860,0
2976963612,2.3655912876,0
2976967612,2.2825024127,0
2976971620,2.2678396701,0
2976975620,2.2580645084,0
2976979612,2.1896383762,0
2976983612,2.0821113586,0
2976987612,2.0039100646,0
2976991600,1.9990224838,0
2976995596,2.0039100646,0
2976999592,1.9501466751,0
2977003588,1.8768328666,0
2977007592,1.8426198005,0
2977011584,1.8670577049,0
2977015584,1.9061583518,0
2977019588,1.8817204475,0
2977023588,1.8181818962,0
2977027600,1.7888562679,0
